i,H,r,Lz,γu,γd,M,energy,error_r,error_a
10,5.0,5.0,55.0,1.0,1.0,3,-0.0046280133651362765,5.146146861329672e-5,2.381521088746022e-7
1,5.0,5.0,55.0,1.0,1.0,5,0.0014420464493167878,8.739112270225559e-8,1.260220471813872e-10
2,5.0,5.0,55.0,1.0,1.0,5,0.005579772966753353,2.4017107532724276e-7,1.3400997516538338e-9
3,5.0,5.0,55.0,1.0,1.0,5,193.9566616285347,1.0859958559472652e-11,2.1063613075966714e-9
4,5.0,5.0,55.0,1.0,1.0,5,-0.007611217255244659,8.06011382940108e-9,6.134727795203965e-11
5,5.0,5.0,55.0,1.0,1.0,5,0.3472454591628185,7.028275765569882e-9,2.440536828185458e-9
6,5.0,5.0,55.0,1.0,1.0,5,-0.019974006621880588,3.5693542667282896e-8,7.129430830421501e-10
7,5.0,5.0,55.0,1.0,1.0,5,0.04519974721307152,4.7553879642297555e-8,2.1494232366192634e-9
8,5.0,5.0,55.0,1.0,1.0,5,-0.009071480294038623,8.753552158508774e-8,7.940768285974453e-10
9,5.0,5.0,55.0,1.0,1.0,5,0.1358243674636765,1.2347915223435546e-8,1.6771477540089563e-9
10,5.0,5.0,55.0,1.0,1.0,5,-0.004627774552803827,1.426654373223069e-7,6.602235745958862e-10
1,5.0,5.0,55.0,1.0,1.0,7,0.0014429022134403277,0.0005935247236937792,8.558901455871411e-7
2,5.0,5.0,55.0,1.0,1.0,7,0.005580837130956781,0.000190958407345914,1.0655043031796915e-6
3,5.0,5.0,55.0,1.0,1.0,7,193.95666307037044,7.444663588500037e-9,1.4439420965572936e-6
4,5.0,5.0,55.0,1.0,1.0,7,-0.0076106321002375995,7.688866708108399e-5,5.852163543372188e-7
5,5.0,5.0,55.0,1.0,1.0,7,0.347247468006627,5.792111333229317e-6,2.011284345293518e-6
6,5.0,5.0,55.0,1.0,1.0,7,-0.0199736741293809,1.668195255897263e-5,3.3320544277209985e-7
7,5.0,5.0,55.0,1.0,1.0,7,0.04520098569948074,2.7447850219412428e-5,1.2406358324626443e-6
8,5.0,5.0,55.0,1.0,1.0,7,-0.00907098383613714,5.481486137509281e-5,4.972519783118245e-7
9,5.0,5.0,55.0,1.0,1.0,7,0.13582579108588752,1.0493694194951768e-5,1.4252993587871021e-6
10,5.0,5.0,55.0,1.0,1.0,7,-0.004627180138446403,0.00012858761577790894,5.950745809992983e-7
1,5.0,5.0,55.0,1.0,1.0,9,0.0019281510194053843,0.3370936760200654,0.00048610469611064374
2,5.0,5.0,55.0,1.0,1.0,9,0.006218120164372255,0.1144040617485801,0.0006383485377186538
3,5.0,5.0,55.0,1.0,1.0,9,193.95759102251688,4.7917719388640025e-6,0.0009293960885372599
4,5.0,5.0,55.0,1.0,1.0,9,-0.007285315959957939,0.042818558855697714,0.0003259013566339975
5,5.0,5.0,55.0,1.0,1.0,9,0.34843126251302414,0.0034148921685988646,0.0011858057907424557
6,5.0,5.0,55.0,1.0,1.0,9,-0.01976854502163168,0.010286484316733806,0.0002054623131919897
7,5.0,5.0,55.0,1.0,1.0,9,0.04597143073130959,0.017072788056097566,0.0007716856676613093
8,5.0,5.0,55.0,1.0,1.0,9,-0.008775534862229695,0.032623804537659847,0.00029594622588575634
9,5.0,5.0,55.0,1.0,1.0,9,0.13670884641165162,0.006511943714966458,0.0008844806251228909
10,5.0,5.0,55.0,1.0,1.0,9,-0.004266899233489507,0.07798044695905124,0.0003608759795378953
1,5.0,5.0,55.0,1.0,1.0,11,0.03444930000166282,22.889177098662252,0.03300725367836808
2,5.0,5.0,55.0,1.0,1.0,11,0.031177569492902478,4.5876067299909975,0.025597797866248877
3,5.0,5.0,55.0,1.0,1.0,11,194.0434965047442,0.00044770247944934423,0.08683487831586945
4,5.0,5.0,55.0,1.0,1.0,11,0.04621852101971265,7.072421676748004,0.05382973833630458
5,5.0,5.0,55.0,1.0,1.0,11,0.4152986731190078,0.1959801491403051,0.06805321639672612
6,5.0,5.0,55.0,1.0,1.0,11,0.02140314483133899,2.0715498634079146,0.04137715216616266
7,5.0,5.0,55.0,1.0,1.0,11,0.031137322413088475,0.31111730012542604,0.014062422650559805
8,5.0,5.0,55.0,1.0,1.0,11,-0.005407171433297796,0.4039373084973157,0.003664309654817656
