i,H,M,γu,γd,energy,error_r,error_a
1,0.5,1,0.6,0.6,26.69451311368236,0.062469807698635804,1.778717223737587
1,0.5,3,0.6,0.6,28.275506296511985,0.006944208246301744,0.19772404090796059
1,0.5,5,0.6,0.6,28.444012045292986,0.0010261670973300187,0.029218292126959255
1,0.5,7,0.6,0.6,28.468369713654088,0.00017070854652798535,0.004860623765857497
1,0.5,9,0.6,0.6,28.472372593180683,3.012458470982983e-5,0.0008577442392621037
1,0.5,11,0.6,0.6,28.47307404655084,5.489045930333646e-6,0.00015629086910706746
1,0.5,13,0.6,0.6,28.47320133161029,1.0187045625263009e-6,2.9005809654591985e-5
1,0.5,15,0.6,0.6,28.473224894593844,1.911559045613103e-7,5.442826100932052e-6
1,0.5,17,0.6,0.6,28.47322930900366,3.611870775733559e-8,1.0284162854645729e-6
1,0.5,19,0.6,0.6,28.4732301422174,6.8556515495370966e-9,1.9520254568305972e-7
1,0.5,21,0.6,0.6,28.473230300254627,1.305272267806314e-9,3.716531793429567e-8
1,0.5,23,0.6,0.6,28.473230330323723,2.4922434835689395e-10,7.09622227645923e-9
1,0.5,25,0.6,0.6,28.47323033606031,4.775131472283763e-11,1.3596341830179881e-9
1,0.5,27,0.6,0.6,28.47323033716071,9.104496000020946e-12,2.5923441171471495e-10
1,0.5,29,0.6,0.6,28.473230337375647,1.555804744878045e-12,4.4298786860963446e-11
1,0.5,1,0.95,0.95,43.35158265832905,0.13134763563355337,6.555128514842757
1,0.5,3,0.95,0.95,47.887591062860004,0.0404578875836085,2.0191201103118033
1,0.5,5,0.95,0.95,49.119470511515516,0.015774244448299484,0.7872406616562913
1,0.5,7,0.95,0.95,49.56904250218025,0.006765997258762948,0.3376686709915546
1,0.5,9,0.95,0.95,49.75490437033373,0.0030418113970948303,0.1518068028380739
1,0.5,11,0.95,0.95,49.83670156891607,0.001402809414004674,0.07000960425573766
1,0.5,13,0.95,0.95,49.87394666159307,0.0006565151421228817,0.032764511578740496
1,0.5,15,0.95,0.95,49.8912401308814,0.0003099992351073643,0.01547104229040741
1,0.5,17,0.95,0.95,49.89936439946865,0.00014721013527944782,0.007346773703154952
1,0.5,19,0.95,0.95,49.90320922686705,7.016984734993926e-5,0.003501946304758974
1,0.5,21,0.95,0.95,49.90503757161079,3.3534599288843574e-5,0.001673601561016369
1,0.5,23,0.95,0.95,49.9059098644351,1.6056131888239008e-5,0.0008013087367046978
1,0.5,25,0.95,0.95,49.90632699245665,7.697977008056185e-6,0.0003841807151587773
1,0.5,27,0.95,0.95,49.90652679562479,3.6944439471311415e-6,0.00018437754701494669
