H,γu,γd,i,energy_exact
0.1,-1.0,-1.0,7,-218.89786290567855
10.0,0.0,0.0,7,-0.9818485119673048
5.0,0.0,0.0,7,-1.2399898138323002
1.0,0.0,0.0,7,-2.315271122782259
0.5,0.0,0.0,7,-2.610034083460997
0.1,0.0,0.0,7,-2.7506082334824375
10.0,0.3,0.3,8,-0.9540458094866833
10.0,0.5,0.5,8,-0.9195928637678126
10.0,0.6,0.6,8,-0.9023665553890763
10.0,0.6,-0.6,8,-1.0190590249390308
10.0,-0.6,-0.6,8,-1.1090898618362637
10.0,0.95,0.95,8,-0.8420753078396936
10.0,0.95,-0.95,8,-1.0268345662927323
10.0,-0.95,-0.95,8,-1.1693875296362362
10.0,1.0,1.0,8,-0.8334623749833026
10.0,1.0,-1.0,8,-1.0279452352848333
10.0,-1.0,-1.0,8,-1.1780016163555205
5.0,0.3,0.3,8,-1.0175586808583308
5.0,0.5,0.5,8,-0.8865688988670519
5.0,0.6,0.6,8,-0.8209876808825194
5.0,0.6,-0.6,8,-1.2628683381570256
5.0,-0.6,-0.6,8,-1.6047431572024449
5.0,0.95,0.95,8,-0.5909492903702191
5.0,0.95,-0.95,8,-1.2922447733727158
5.0,-0.95,-0.95,8,-1.8323945270698512
5.0,1.0,1.0,8,-0.5580176198833087
5.0,1.0,-1.0,8,-1.296479200021579
5.0,-1.0,-1.0,8,-1.8648966041992727
1.0,0.3,0.3,8,1.0480666905664893
1.0,0.5,0.5,8,2.7713639965228993
1.0,0.6,0.6,8,3.7013651900842977
1.0,0.6,-0.6,8,-1.8312776810139377
1.0,-0.6,-0.6,8,-5.373196302370615
1.0,0.95,0.95,8,7.496624834997506
1.0,0.95,-0.95,8,-2.42349729735819
1.0,-0.95,-0.95,8,-7.556493188802895
1.0,1.0,1.0,8,8.137151160525784
1.0,1.0,-1.0,8,-2.5181969779933158
1.0,-1.0,-1.0,8,-7.862202897901145
0.5,0.3,0.3,8,4.228769952518403
0.5,0.5,0.5,8,8.541791829167895
0.5,0.6,0.6,8,10.997744444930152
0.5,0.6,-0.6,8,-2.625673612827292
0.5,-0.6,-0.6,8,-10.253162611090266
0.5,0.95,0.95,8,22.620180039472373
0.5,0.95,-0.95,8,-4.226411638986095
0.5,-0.95,-0.95,8,-14.879157661776135
0.5,1.0,1.0,8,25.008854474360753
0.5,1.0,-1.0,8,-4.475682538693877
0.5,-1.0,-1.0,8,-15.523379798828271
0.1,0.3,0.3,8,29.92449636448257
0.1,0.5,0.5,8,56.212725550590065
0.1,0.6,0.6,8,72.309424710664
0.1,0.6,-0.6,8,-9.802464496627977
0.1,-0.6,-0.6,8,-49.69171667893844
0.1,0.95,0.95,8,180.3453283303897
0.1,0.95,-0.95,8,-19.42552794313478
0.1,-0.95,-0.95,8,-73.94309718006136
0.1,1.0,1.0,8,225.16724823471858
0.1,1.0,-1.0,8,-20.867351538180454
0.1,-1.0,-1.0,8,-77.3140246362661
10.0,0.0,0.0,8,-1.0057260784041038
5.0,0.0,0.0,8,-1.213655893753057
1.0,0.0,0.0,8,-1.282972413040664
0.5,0.0,0.0,8,-1.2496267522418485
0.1,0.0,0.0,8,-1.230283745367561
10.0,0.3,0.3,9,0.03989634598615144
10.0,0.5,0.5,9,0.3122081261381413
10.0,0.6,0.6,9,0.44837054339977334
10.0,0.6,-0.6,9,-0.5387381686853208
10.0,-0.6,-0.6,9,-1.1852919044544423
10.0,0.95,0.95,9,0.9249733265485984
10.0,0.95,-0.95,9,-0.6380933283451791
10.0,-0.95,-0.95,9,-1.6616594344937314
10.0,1.0,1.0,9,0.9930638022700906
10.0,1.0,-1.0,9,-0.6522912653617823
10.0,-1.0,-1.0,9,-1.729707629585262
5.0,0.3,0.3,9,0.04766290537242446
5.0,0.5,0.5,9,0.7100328733091885
5.0,0.6,0.6,9,1.0416089255481573
5.0,0.6,-0.6,9,-1.2730380660508165
5.0,-0.6,-0.6,9,-2.920888853146087
5.0,0.95,0.95,9,2.2042505381574116
5.0,0.95,-0.95,9,-1.468991983576152
5.0,-0.95,-0.95,9,-4.070372772384625
5.0,1.0,1.0,9,2.3706193510019586
5.0,1.0,-1.0,9,-1.497225873371137
5.0,-1.0,-1.0,9,-4.234373907200517
1.0,0.3,0.3,9,6.736681313900185
1.0,0.5,0.5,9,11.482852292845582
1.0,0.6,0.6,9,13.93802106520359
1.0,0.6,-0.6,9,-1.6189413095101286
1.0,-0.6,-0.6,9,-13.041298936104265
1.0,0.95,0.95,9,23.192658828426516
1.0,0.95,-0.95,9,-2.8632808400836414
1.0,-0.95,-0.95,9,-20.354837179014535
1.0,1.0,1.0,9,24.63729950002521
1.0,1.0,-1.0,9,-3.0550137752297846
1.0,-1.0,-1.0,9,-21.390724511004212
0.5,0.3,0.3,9,14.918869601643186
0.5,0.5,0.5,9,25.412789691546784
0.5,0.6,0.6,9,31.001631591967445
0.5,0.6,-0.6,9,-3.298101103482323
0.5,-0.6,-0.6,9,-26.686169428048323
0.5,0.95,0.95,9,54.07657375210373
0.5,0.95,-0.95,9,-6.408462563849778
0.5,-0.95,-0.95,9,-41.70954831293369
0.5,1.0,1.0,9,58.23959486924498
0.5,1.0,-1.0,9,-6.884403795767586
0.5,-1.0,-1.0,9,-43.83450413495805
0.1,0.3,0.3,9,75.6404462801988
0.1,0.5,0.5,9,132.03237860669967
0.1,0.6,0.6,9,163.57197697126384
0.1,0.6,-0.6,9,-19.519496211455525
0.1,-0.6,-0.6,9,-135.0932751935559
