i,H,rr,energy,error_r,error_a
5,10.0,4.0,-0.6600024655586496,3.979966459732479e-13,2.6267876762631204e-13
5,10.0,4.0,-0.660002465558662,4.1683672388914127e-13,2.751132655021138e-13
5,10.0,6.0,-0.660002465559717,2.015215477075025e-12,1.3300471835009375e-12
5,10.0,6.0,-0.6600024655596983,1.986955360201185e-12,1.311395436687235e-12
5,10.0,8.0,-0.6600024655600619,2.537859424259675e-12,1.6749934772519737e-12
5,10.0,8.0,-0.6600024655600655,2.5432423036642155e-12,1.6785461909307742e-12
5,10.0,10.0,-0.6600024655602514,2.825002397495657e-12,1.864508547555488e-12
5,10.0,10.0,-0.6600024655603549,2.981778760152913e-12,1.9679813334505525e-12
5,5.0,0.0,-1.2961141551014155,0.09403631998079545,0.13453277223891735
5,5.0,1.0,-1.430528982649624,8.24415084217756e-5,0.00011794469070891545
5,5.0,2.0,-1.4306467163145091,1.4750377585932975e-7,2.1102582370424727e-7
5,5.0,3.0,-1.4306469269479807,2.742480644739678e-10,3.9235215076871555e-10
5,5.0,4.0,-1.4306469273403914,4.09743134940962e-14,5.861977570020827e-14
5,5.0,5.0,-1.4306469273412277,6.254791037166958e-13,8.948397578478762e-13
5,5.0,6.0,-1.430646927341458,7.864274487673691e-13,1.1251000131551336e-12
5,5.0,7.0,-1.4306469273417082,9.61344309781939e-13,1.375344282905644e-12
5,5.0,8.0,-1.4306469273419171,1.1073929044711227e-12,1.5842882561400984e-12
5,5.0,9.0,-1.4306469273421036,1.2377657201341561e-12,1.7708057242771247e-12
5,5.0,10.0,-1.430646927342166,1.2813785310880993e-12,1.8332002582610585e-12
5,1.0,0.0,1.4690975897627292,1.6252281582537216,3.8187959684569277
5,1.0,1.0,-2.348750042426571,0.00040359914967225206,0.0009483362676272478
5,1.0,2.0,-2.349696801478298,6.712418557238243e-7,1.577215900105955e-6
5,1.0,3.0,-2.3496983757754055,1.2421989092329232e-9,2.918792763040301e-9
5,1.0,4.0,-2.349698378689185,2.133602821304843e-12,5.013323089997357e-12
5,1.0,5.0,-2.349698378694706,2.1602515942523125e-13,5.075939668586216e-13
5,1.0,6.0,-2.3496983786948396,2.7291367472443914e-13,6.412648190234904e-13
5,1.0,7.0,-2.3496983786949635,3.25644225450283e-13,7.651657085716579e-13
5,1.0,8.0,-2.349698378695003,3.4246508213343747e-13,8.046896482483135e-13
5,1.0,9.0,-2.3496983786951624,4.103155040351505e-13,9.64117674584486e-13
5,1.0,10.0,-2.349698378695184,4.195764251303704e-13,9.85878045867139e-13
5,0.5,0.0,7.410509115308596,4.005538366846807,9.87612698831654
5,0.5,1.0,-2.464296606833029,0.0005358762967206695,0.0013212661749157917
5,0.5,2.0,-2.46561570586365,8.789457275003219e-7,2.1671442951287645e-6
5,0.5,3.0,-2.4656178690016617,1.6248597761075417e-9,4.006283305102443e-9
5,0.5,4.0,-2.465617873000823,2.8884681346331663e-12,7.121858658365454e-12
5,0.5,5.0,-2.4656178730084313,1.9722345871567732e-13,4.862776847858186e-13
5,0.5,6.0,-2.4656178730085707,2.5377886148894003e-13,6.257216966787382e-13
5,0.5,7.0,-2.4656178730086626,2.910622002598489e-13,7.176481631177012e-13
5,0.5,8.0,-2.465617873008723,3.155575339450837e-13,7.780442956573097e-13
5,0.5,9.0,-2.4656178730088745,3.769759809058563e-13,9.29478716216181e-13
5,0.5,10.0,-2.465617873008954,4.0921616274156976e-13,1.0089706847793423e-12
5,0.1,0.0,55.695828642346136,23.15107939046458,58.21019047819968
5,0.1,1.0000000000000002,-2.5126369405449966,0.0006860171372120888,0.0017248953085475804
5,0.1,2.0,-2.514359043597805,1.1105226380921385e-6,2.7922557390702707e-6
5,0.1,3.0,-2.514361830697013,2.0508310015302514e-9,5.156531202032966e-9
5,0.1,4.0,-2.514361835844391,3.640336316635371e-12,9.15312270421964e-12
5,0.1,5.0,-2.514361835854063,2.0629337818786636e-13,5.186961971048731e-13
5,0.1,6.0,-2.514361835854191,2.571602385629567e-13,6.465938895416912e-13
5,0.1,7.000000000000002,-2.514361835854294,2.981363205317795e-13,7.496225862269057e-13
5,0.1,8.000000000000002,-2.5143618358544018,3.4105523397326193e-13,8.575362642204709e-13
5,0.1,9.000000000000002,-2.5143618358545154,3.8627022097334224e-13,9.71223101942087e-13
5,0.1,10.000000000000002,-2.514361835854531,3.9245195747725944e-13,9.867662242868391e-13
6,10.0,0.0,1.3670704689250162,0.15080419695105224,0.17914425823953106
6,10.0,2.0,1.1879262051076953,4.695400888903705e-9,5.5777897856046366e-9
6,10.0,2.0,1.1879262051076571,4.695433038772698e-9,5.577827977276684e-9
6,10.0,4.0,1.1879262106845214,8.112234385488929e-13,9.636735853746359e-13
6,10.0,4.0,1.187926210684533,8.01503710713745e-13,9.521272659185342e-13
6,10.0,6.0,1.187926210684217,1.0674878012794304e-12,1.2680967387268538e-12
6,10.0,6.0,1.187926210684305,9.934683354579185e-13,1.1801670751765414e-12
6,10.0,8.0,1.1879262106838473,1.3787060098471508e-12,1.637801005927031e-12
6,10.0,8.0,1.1879262106838349,1.3891734090542333e-12,1.6502355038028327e-12
6,10.0,10.0,1.1879262106831303,1.9822637248412466e-12,2.354783035229957e-12
6,10.0,10.0,1.187926210682617,2.4144177778193664e-12,2.8681501618166294e-12
6,5.0,0.0,0.9389505927095572,0.44714322904120307,0.2901201425739104
6,5.0,1.0,0.6488806479528959,7.736661748633526e-5,5.0197817249131305e-5
6,5.0,2.0,0.6488305066472653,8.709766701614027e-8,5.651161849584696e-8
6,5.0,3.0,0.6488304502351961,1.5342894083890423e-10,9.954936874834175e-11
6,5.0,4.0,0.6488304501349829,1.0232463174116498e-12,6.639133687258436e-13
6,5.0,5.0,0.6488304501346008,1.6120407284841391e-12,1.04594111149936e-12
6,5.0,6.0,0.6488304501343786,1.9546057999654308e-12,1.2682077610293163e-12
6,5.0,7.0,0.6488304501342068,2.2193151733827924e-12,1.439959262938828e-12
6,5.0,8.0,0.6488304501338952,2.699624941438729e-12,1.7515988659511095e-12
6,5.0,9.0,0.6488304501336314,3.1061856856143275e-12,2.0153878566020467e-12
6,5.0,10.0,0.6488304501334523,3.382188413036567e-12,2.1944668304740844e-12
6,1.0,0.0,7.3406532742036,52.07094096925334,7.484387717605044
6,1.0,1.0,-0.14199443208274662,0.012105736645439824,0.0017400113186967492
6,1.0,2.0,-0.1437316842647849,1.919607154128686e-5,2.759136658481154e-6
6,1.0,3.0,-0.14373443831658309,3.5376769565466876e-8,5.084860282833503e-9
6,1.0,4.0,-0.14373444339269498,6.086495827697127e-11,8.74839090059254e-12
6,1.0,5.0,-0.14373444340246216,7.088044691569343e-12,1.018796158547275e-12
6,1.0,6.0,-0.1437344434027185,8.871352399482025e-12,1.275118899357608e-12
6,1.0,7.0,-0.14373444340278418,9.328427585689855e-12,1.3408163468398016e-12
6,1.0,8.0,-0.14373444340327476,1.2741525987136162e-11,1.8313961458460426e-12
6,1.0,9.0,-0.1437344434033667,1.3381083662134192e-11,1.9233226122850056e-12
6,1.0,10.0,-0.14373444340335823,1.3322187197498202e-11,1.9148571617222387e-12
6,0.5,0.0,18.28744225233595,33.96361932649077,18.842218779488704
6,0.5,1.0,-0.5523064394397953,0.004452401268012577,0.0024700877129585352
6,0.5,2.0,-0.5547726617873868,6.967427744003869e-6,3.865365367006213e-6
6,0.5,3.0,-0.5547765200369562,1.2826421576138229e-8,7.115797617807118e-9
6,0.5,4.0,-0.5547765271401388,2.2738921930149265e-11,1.2615020139605804e-11
6,0.5,5.0,-0.5547765271538283,1.9367687539822277e-12,1.0744738432322265e-12
6,0.5,6.0,-0.5547765271541124,2.4488777890556435e-12,1.358579915233804e-12
6,0.5,7.0,-0.5547765271541613,2.5369309252151993e-12,1.407429728317311e-12
6,0.5,8.0,-0.554776527154289,2.767269924578037e-12,1.5352163984516665e-12
6,0.5,9.0,-0.5547765271544914,3.1320900773481964e-12,1.7376100558408325e-12
6,0.5,10.0,-0.5547765271546515,3.4206642190347403e-12,1.89770421599178e-12
6,0.1,0.0,108.68716676638782,89.55795776361619,109.91446659930065
6,0.1,1.0000000000000002,-1.2240483985493869,0.002649258377008578,0.003251434363445549
6,0.1,2.0,-1.22729482188381,4.082970508112756e-6,5.011029022394808e-6
6,0.1,3.0,-1.2272998236996453,7.506875545035495e-9,9.213187102119491e-9
6,0.1,4.0,-1.2272998328963636,1.3418747286551881e-11,1.6468826302684647e-11
6,0.1,5.0,-1.2272998329137441,7.428626024158614e-13,9.117151478221786e-13
6,0.1,6.0,-1.227299832914001,9.521884745530148e-13,1.1686207557204398e-12
6,0.1,7.000000000000002,-1.227299832914153,1.0759386012097243e-12,1.3204992654891612e-12
6,0.1,8.000000000000002,-1.227299832914439,1.3089651554989667e-12,1.6064927166326015e-12
6,0.1,9.000000000000002,-1.2272998329146314,1.46582386867348e-12,1.7990053891026037e-12
6,0.1,10.000000000000002,-1.2272998329148017,1.6045904580677728e-12,1.9693136010801027e-12
