H,s,Lz,γu,γd,M,energy,error_r
1.0,3.0,32.0,1.0,1.0,9,45.775764981337836,0.0005523291563693354
1.0,3.0,32.0,1.0,1.0,10,45.78754097592167,0.0002952173339130599
1.0,3.0,32.0,1.0,1.0,11,45.79393217762625,0.0001556746815916986
1.0,3.0,32.0,1.0,1.0,12,45.797262799214195,8.295537280707626e-5
1.0,3.0,32.0,1.0,1.0,13,45.799100358487316,4.283492181502879e-5
1.0,3.0,32.0,1.0,1.0,14,45.800117230355646,2.063299420631505e-5
1.0,3.0,32.0,1.0,1.0,15,45.80077006809826,6.379225611514259e-6
1.0,3.0,32.0,1.0,1.0,16,45.80129592341701,5.102065279823406e-6
1.0,3.0,32.0,1.0,1.0,17,45.80194876115973,1.935583387695125e-5
1.0,3.0,32.0,1.0,1.0,18,45.802965633028066,4.155776148582013e-5
1.0,3.0,32.0,1.0,1.0,19,45.804803192301506,8.167821248484874e-5
1.0,3.0,32.0,1.0,1.0,20,45.80813381388942,0.00015439752126885053
1.0,3.0,32.0,1.0,1.0,21,45.81452501559308,0.0002939401735700441
1.0,3.0,32.0,1.0,1.0,22,45.82630101017806,0.0005510519960512966
1.0,3.0,32.0,1.0,1.0,23,45.84904500066362,0.0010476341575019175
1.0,3.0,32.0,1.0,1.0,24,45.89116458262891,0.0019672543562965538
1.0,3.0,32.0,1.0,1.0,25,45.973155684562215,0.003757411569191902
1.0,3.0,32.0,1.0,1.0,26,46.12579192430659,0.00709000326615292
1.0,3.0,32.0,1.0,1.0,27,46.428095701564814,0.013690369337394788
1.0,3.0,32.0,1.0,1.0,28,46.99510101391209,0.02607011086683693
1.0,3.0,32.0,1.0,1.0,29,48.129975406385455,0.05084845304680927
1.0,3.0,32.0,1.0,1.0,30,50.13682714812915,0.09466516042093909
1.0,3.0,32.0,1.0,1.0,31,53.19568625922919,0.16145092828902652
1.0,3.0,32.0,1.0,1.0,32,56.864589918363365,0.24155613719522961
1.0,3.0,32.0,1.0,1.0,33,59.92344902945861,0.30834190506321235
1.0,3.0,32.0,1.0,1.0,34,61.93030077120678,0.3521586124374399
1.0,3.0,32.0,1.0,1.0,35,63.06517516368445,0.37693695461750626
1.0,3.0,32.0,1.0,1.0,36,63.63218047602301,0.38931669614675807
1.0,3.0,32.0,1.0,1.0,37,63.93448425328996,0.3959170622181904
