H,r,Lz,γu,γd,M,error_r
0.5,1.25,13.0,0.6,0.6,35,0.0012159011338202287
0.5,1.25,13.0,0.6,0.6,40,0.001215901738492149
0.5,1.25,13.0,0.6,0.6,45,0.0012159017959244918
0.5,1.25,13.0,0.6,0.6,50,0.0012159018105032768
0.5,1.25,13.0,0.6,0.6,55,0.0012159018138439294
0.5,1.25,13.0,0.6,0.6,60,0.0012159018139231226
0.5,1.25,13.0,0.6,0.6,65,0.0012159018139259801
0.5,1.25,13.0,0.6,0.6,70,0.0012159018139256742
0.5,1.25,13.0,0.6,0.6,75,0.0012159018139255235
0.5,1.25,13.0,0.6,0.6,80,0.0012159018139255367
0.5,1.25,13.0,0.6,0.6,85,0.0012159018139253567
0.5,1.25,13.0,0.6,0.6,90,0.0012159018139254758
0.5,1.25,13.0,0.6,0.6,95,0.0012159018139254998
0.5,1.25,13.0,0.6,0.6,100,0.0012159018139254998
0.5,1.5,15.5,0.6,0.6,0,1.1250030909902686
0.5,1.5,15.5,0.6,0.6,5,0.008272182151991587
0.5,1.5,15.5,0.6,0.6,10,0.0001553622465276952
0.5,1.5,15.5,0.6,0.6,15,0.0002576298989926228
0.5,1.5,15.5,0.6,0.6,20,0.00026440275808210404
0.5,1.5,15.5,0.6,0.6,25,0.00026535099434306494
0.5,1.5,15.5,0.6,0.6,30,0.00026505662904866803
0.5,1.5,15.5,0.6,0.6,35,0.0002649958800879085
0.5,1.5,15.5,0.6,0.6,40,0.0002649958886336668
0.5,1.5,15.5,0.6,0.6,45,0.00026499591755700983
0.5,1.5,15.5,0.6,0.6,50,0.0002649959189612411
0.5,1.5,15.5,0.6,0.6,55,0.0002649959191603203
0.5,1.5,15.5,0.6,0.6,60,0.0002649959191306298
0.5,1.5,15.5,0.6,0.6,65,0.0002649959191168011
0.5,1.5,15.5,0.6,0.6,70,0.00026499591911739663
0.5,1.5,15.5,0.6,0.6,75,0.00026499591911708265
0.5,1.5,15.5,0.6,0.6,80,0.0002649959191175
0.5,1.5,15.5,0.6,0.6,85,0.00026499591911706026
0.5,1.5,15.5,0.6,0.6,90,0.00026499591911692045
0.5,1.5,15.5,0.6,0.6,95,0.0002649959191174605
0.5,1.5,15.5,0.6,0.6,100,0.0002649959191170417
0.5,1.75,18.0,0.6,0.6,0,1.125003727390872
0.5,1.75,18.0,0.6,0.6,5,0.00837257085784933
0.5,1.75,18.0,0.6,0.6,10,8.684382557024117e-5
0.5,1.75,18.0,0.6,0.6,15,5.3250748826537616e-5
0.5,1.75,18.0,0.6,0.6,20,5.643110137282891e-5
0.5,1.75,18.0,0.6,0.6,25,5.683427528609086e-5
0.5,1.75,18.0,0.6,0.6,30,5.6902838338273474e-5
0.5,1.75,18.0,0.6,0.6,35,5.687850573639877e-5
0.5,1.75,18.0,0.6,0.6,40,5.687359458409874e-5
0.5,1.75,18.0,0.6,0.6,45,5.6873590723086186e-5
0.5,1.75,18.0,0.6,0.6,50,5.68735927670543e-5
0.5,1.75,18.0,0.6,0.6,55,5.687359282358959e-5
0.5,1.75,18.0,0.6,0.6,60,5.6873592831623916e-5
0.5,1.75,18.0,0.6,0.6,65,5.687359283225791e-5
0.5,1.75,18.0,0.6,0.6,70,5.6873592832272614e-5
0.5,1.75,18.0,0.6,0.6,75,5.687359283178295e-5
0.5,1.75,18.0,0.6,0.6,80,5.687359283249052e-5
0.5,1.75,18.0,0.6,0.6,85,5.687359283289592e-5
0.5,1.75,18.0,0.6,0.6,90,5.687359283234808e-5
